round,dice_wt,time_sec,loss
0,0.1107,22.53,0.8893
1,0.0865,18.26,0.9135
2,0.2775,18.06,0.7225
3,0.3692,18.27,0.6308
4,0.4604,18.13,0.5396
5,0.6091,18.02,0.3909
6,0.7145,18.54,0.2855
7,0.8135,17.99,0.1865
8,0.8369,18.05,0.1631
9,0.8722,18.01,0.1278
10,0.8579,17.95,0.1421
11,0.9081,17.86,0.0919
12,0.921,18.03,0.079
13,0.9011,18.12,0.0989
14,0.9165,18.23,0.0835
15,0.9292,18.14,0.0708
16,0.9381,18.02,0.0619
17,0.9461,18.01,0.0539
18,0.8576,18.1,0.1424
19,0.9025,18.07,0.0975
20,0.8666,18.04,0.1334
21,0.9509,18.18,0.0491
22,0.81,17.86,0.19
23,0.8809,17.96,0.1191
24,0.8178,18.07,0.1822
25,0.8373,18.64,0.1627
