round,dice_wt,time_sec,loss
0,0.1107,27.58,0.8893
1,0.2379,24.34,0.7621
2,0.8208,24.69,0.1792
3,0.9313,24.48,0.0687
4,0.7814,24.13,0.2186
5,0.6745,24.41,0.3255
6,0.8812,24.26,0.1188
7,0.9624,24.1,0.0376
8,0.9234,24.39,0.0766
9,0.7099,24.16,0.2901
10,0.6342,24.21,0.3658
11,0.5777,24.1,0.4223
12,0.5933,24.29,0.4067
13,0.4896,23.99,0.5104
14,0.399,24.19,0.601
15,0.4884,23.96,0.5116
16,0.4926,24.17,0.5074
17,0.4819,24.64,0.5181
18,0.4002,24.35,0.5998
19,0.5329,24.22,0.4671
20,0.3504,23.78,0.6496
21,0.3866,24.16,0.6134
22,0.445,24.43,0.555
23,0.351,23.78,0.649
24,0.3434,24.14,0.6566
25,0.3736,24.67,0.6264
