round,dice_wt,time_sec,loss
0,0.1107,22.41,0.8893
1,0.1537,18.15,0.8463
2,0.3174,18.12,0.6826
3,0.3905,18.2,0.6095
4,0.4183,18.21,0.5817
5,0.4849,18.04,0.5151
6,0.4015,18.59,0.5985
7,0.4753,17.79,0.5247
8,0.4609,17.81,0.5391
9,0.5336,17.85,0.4664
10,0.4214,17.93,0.5786
11,0.8449,17.74,0.1551
12,0.6696,17.9,0.3304
13,0.7762,18.07,0.2238
14,0.7254,17.86,0.2746
15,0.6072,17.92,0.3928
16,0.7926,17.93,0.2074
17,0.9002,17.92,0.0998
18,0.8234,17.82,0.1766
19,0.9539,17.9,0.0461
20,0.9089,17.96,0.0911
21,0.9503,17.92,0.0497
22,0.9273,18.07,0.0727
23,0.9352,17.92,0.0648
24,0.9463,17.9,0.0537
25,0.9366,18.73,0.0634
