round,dice_wt,time_sec,loss
0,0.1107,27.16,0.8893
1,0.082,23.93,0.918
2,0.2599,24.03,0.7401
3,0.3158,23.88,0.6842
4,0.3747,23.94,0.6253
5,0.4719,23.98,0.5281
6,0.5326,24.37,0.4674
7,0.5958,24.14,0.4042
8,0.6355,24.17,0.3645
9,0.6716,24.28,0.3284
10,0.6989,24.1,0.3011
11,0.749,24.02,0.251
12,0.7382,23.75,0.2618
13,0.7608,23.67,0.2392
14,0.7717,23.6,0.2283
15,0.7748,23.77,0.2252
16,0.7396,23.76,0.2604
17,0.7624,23.99,0.2376
18,0.6921,23.87,0.3079
19,0.7735,23.79,0.2265
20,0.7638,23.7,0.2362
21,0.7599,24.01,0.2401
22,0.7025,23.8,0.2975
23,0.7533,23.61,0.2467
24,0.6959,23.56,0.3041
25,0.7237,23.88,0.2763
