round,dice_wt,time_sec,loss
0,0.1107,22.38,0.8893
1,0.1552,18.52,0.8448
2,0.3201,18.64,0.6799
3,0.4117,18.41,0.5883
4,0.4765,18.49,0.5235
5,0.6998,18.23,0.3002
6,0.6124,18.92,0.3876
7,0.8001,18.37,0.1999
8,0.9442,18.21,0.0558
9,0.786,18.27,0.214
10,0.7885,18.14,0.2115
11,0.8926,17.96,0.1074
12,0.9607,18.2,0.0393
13,0.8993,18.05,0.1007
14,0.9119,17.9,0.0881
15,0.8702,18.07,0.1298
16,0.9577,18.04,0.0423
17,0.962,18.43,0.038
18,0.9338,18.39,0.0662
19,0.9671,18.36,0.0329
20,0.9482,18.45,0.0518
21,0.9737,18.38,0.0263
22,0.8616,18.15,0.1384
23,0.9687,18.42,0.0313
24,0.8976,18.71,0.1024
25,0.9261,19.3,0.0739
