round,dice_wt,time_sec,loss
0,0.1107,22.26,0.8893
1,0.371,18.41,0.629
2,0.56,18.31,0.44
3,0.9495,18.33,0.0505
4,0.9658,18.07,0.0342
5,0.9706,18.23,0.0294
6,0.9579,18.68,0.0421
7,0.9624,18.24,0.0376
8,0.9562,18.33,0.0438
9,0.9646,18.37,0.0354
10,0.9601,18.07,0.0399
11,0.9604,18.24,0.0396
12,0.9564,18.22,0.0436
13,0.9572,18.43,0.0428
14,0.9589,18.34,0.0411
15,0.9716,18.38,0.0284
16,0.9725,18.55,0.0275
17,0.9731,18.46,0.0269
18,0.9687,18.37,0.0313
19,0.9701,18.36,0.0299
20,0.9684,17.77,0.0316
21,0.9712,17.85,0.0288
22,0.969,18.36,0.031
23,0.9697,18.13,0.0303
24,0.9663,18.6,0.0337
25,0.9686,18.7,0.0314
