round,dice_wt,time_sec,loss
0,0.1107,27.49,0.8893
1,0.2152,24.94,0.7848
2,0.9378,24.44,0.0622
3,0.9717,24.27,0.0283
4,0.9318,24.2,0.0682
5,0.976,24.45,0.024
6,0.9491,24.57,0.0509
7,0.8395,24.58,0.1605
8,0.6758,24.43,0.3242
9,0.5464,24.35,0.4536
10,0.5976,24.45,0.4024
11,0.7719,24.31,0.2281
12,0.5704,24.56,0.4296
13,0.6971,24.66,0.3029
14,0.603,25.02,0.397
15,0.7149,24.58,0.2851
16,0.7215,24.43,0.2785
17,0.7154,24.79,0.2846
18,0.6223,24.72,0.3777
19,0.7008,24.47,0.2992
20,0.6607,24.43,0.3393
21,0.6924,24.77,0.3076
22,0.6935,24.8,0.3065
23,0.6835,24.92,0.3165
24,0.6795,24.7,0.3205
25,0.7313,25.0,0.2687
