round,dice_wt,time_sec,loss
0,0.1107,21.69,0.8893
1,0.1539,18.29,0.8461
2,0.3179,18.32,0.6821
3,0.397,18.35,0.603
4,0.4171,18.04,0.5829
5,0.4956,18.12,0.5044
6,0.6947,18.36,0.3053
7,0.6798,18.0,0.3202
8,0.7546,17.95,0.2454
9,0.6523,18.26,0.3477
10,0.4966,18.14,0.5034
11,0.8683,18.14,0.1317
12,0.7974,18.53,0.2026
13,0.9286,18.11,0.0714
14,0.7977,18.02,0.2023
15,0.5611,18.0,0.4389
16,0.7984,18.01,0.2016
17,0.8731,18.03,0.1269
18,0.8305,17.95,0.1695
19,0.9333,17.96,0.0667
20,0.9101,17.95,0.0899
21,0.9611,17.85,0.0389
22,0.923,18.19,0.077
23,0.9603,18.02,0.0397
24,0.9475,18.01,0.0525
25,0.9637,19.31,0.0363
