round,dice_wt,time_sec,loss
0,0.1107,22.46,0.8893
1,0.1526,18.23,0.8474
2,0.8458,18.3,0.1542
3,0.8504,18.41,0.1496
4,0.7201,18.2,0.2799
5,0.9032,18.18,0.0968
6,0.8899,18.0,0.1101
7,0.8485,18.1,0.1515
8,0.7917,17.97,0.2083
9,0.5331,18.0,0.4669
10,0.4796,17.78,0.5204
11,0.5469,18.19,0.4531
12,0.4004,18.19,0.5996
13,0.4168,18.14,0.5832
14,0.4444,18.17,0.5556
15,0.4887,18.03,0.5113
16,0.4903,17.87,0.5097
17,0.4269,17.96,0.5731
18,0.3938,18.02,0.6062
19,0.4167,17.62,0.5833
20,0.3774,18.66,0.6226
21,0.4004,18.29,0.5996
22,0.419,18.14,0.581
23,0.4163,18.23,0.5837
24,0.4513,18.18,0.5487
25,0.5005,19.31,0.4995
