round,dice_wt,time_sec,loss
0,0.1107,22.26,0.8893
1,0.1535,18.09,0.8465
2,0.3179,18.22,0.6821
3,0.407,18.1,0.593
4,0.4772,18.01,0.5228
5,0.6722,18.21,0.3278
6,0.5468,19.52,0.4532
7,0.879,18.07,0.121
8,0.9382,18.41,0.0618
9,0.7127,18.29,0.2873
10,0.9575,18.38,0.0425
11,0.806,18.2,0.194
12,0.9403,18.26,0.0597
13,0.9346,18.2,0.0654
14,0.9352,18.31,0.0648
15,0.9188,18.22,0.0812
16,0.9529,18.04,0.0471
17,0.9504,18.15,0.0496
18,0.956,18.37,0.044
19,0.9621,18.27,0.0379
20,0.9472,18.33,0.0528
21,0.9751,18.19,0.0249
22,0.8868,18.18,0.1132
23,0.9701,18.17,0.0299
24,0.9181,18.05,0.0819
25,0.937,19.3,0.063
