Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,SH,-,154016352,158063533,0.9743952217083915
2,SH,-,154016352,160575726,0.9591508933868421
3,SH,-,154016352,158038915,0.9745470080773211
4,SH,-,154016352,161765441,0.9520967551924548
5,SH,-,154016352,160942692,0.9569639319404862
6,SH,-,154016352,161645471,0.9528033797556692
7,SH,-,154016352,160583396,0.9591050820746663
8,SH,-,154016352,158784375,0.9699717060725993
9,SH,-,154016352,157087410,0.9804499999004322
10,SH,-,154016352,156007308,0.9872380593489083
11,SH,-,154016352,153225858,1.0051590097764913
12,SH,-,154016352,156080251,0.986776676205253
13,SH,-,154016352,152601391,1.009272265645618
14,SH,-,154016352,156731122,0.9826788032001713
15,SH,-,154016352,154308946,0.9981038381000082
16,SH,-,154016352,153243614,1.0050425413286128
17,SH,-,154016352,155868309,0.9881184467270806
18,SH,-,154016352,156797385,0.982263519077058
19,SH,-,154016352,154802418,0.9949221315549319
20,SH,-,154016352,153673045,1.0022340081156882
21,SH,-,154016352,155160632,0.9926251896067141
22,SH,-,154016352,157560690,0.9775049323280649
23,SH,-,154016352,153250573,1.004996903076937
24,SH,-,154016352,156058055,0.9869170239483054
25,SH,-,154016352,155450311,0.9907754466193559
