Round,EncodingMode,NClusters,BaselineBits,CompressedBits,CompressionRatio
-1,SKH,32,154016352,46011532,3.3473423943810756
-1,SKH,32,154016352,45806453,3.3623286911330585
-1,SKH,32,154016352,45601704,3.3774253501425924
-1,SKH,32,154016352,45583995,3.3787374446234932
-1,SKH,32,154016352,45625275,3.3756804748236573
-1,SKH,32,154016352,45492863,3.385505776855914
-1,SKH,32,154016352,45498577,3.3850805898128837
-1,SKH,32,154016352,45493778,3.3854376560009505
-1,SKH,32,154016352,45408979,3.3917598179502133
-1,SKH,32,154016352,45387244,3.3933840912240103
-1,SKH,32,154016352,45542374,3.3818252778536517
-1,SKH,32,154016352,45446924,3.3889279709166384
-1,SKH,32,154016352,45341248,3.396826412217199
-1,SKH,32,154016352,45439557,3.3894773869718633
-1,SKH,32,154016352,45426418,3.390457730051003
-1,SKH,32,154016352,45429105,3.3902571740603387
-1,SKH,32,154016352,45420534,3.3908969173285506
-1,SKH,32,154016352,45365486,3.3950116036292908
-1,SKH,32,154016352,45421610,3.390816591452887
-1,SKH,32,154016352,45391910,3.3930352167243973
-1,SKH,32,154016352,45439591,3.3894748031232895
-1,SKH,32,154016352,45440828,3.389382570534335
-1,SKH,32,154016352,45426815,3.3904280772669537
-1,SKH,32,154016352,45329043,3.3977410387134777
-1,SKH,32,154016352,45387862,3.393337827018254
