batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,262427,157749,147471,272705,1.0
2,0,270918,162397,146931,286384,1.0
3,0,207253,169918,129716,247455,1.0
4,0,295412,200621,187957,308076,1.0
5,0,115158,12470,8544,119084,0.1435
6,0,177995,42636,33353,187278,0.3562
7,0,111491,46230,43144,114577,0.7531
8,0,290609,51782,49919,292472,0.3414
9,0,196059,59342,48025,207376,0.4632
10,0,261310,77740,70664,268386,0.5266
11,0,330617,78549,74977,334189,0.4487
12,0,230451,78584,72724,236311,0.6155
13,0,222437,79080,57101,244416,0.4672
14,0,232016,83463,66309,249170,0.5322
15,0,214484,84845,73146,226183,0.6468
16,0,250076,85112,82355,252833,0.6515
17,0,185951,95788,75353,206386,0.7302
18,0,262251,98011,76218,284044,0.5367
19,0,222451,98512,94438,226525,0.8338
20,0,224260,98996,75070,248186,0.6049
21,0,245678,105016,97321,253373,0.7682
22,0,291307,107675,98665,300317,0.6571
23,0,193514,107935,83021,218428,0.7602
24,0,223515,111614,103694,231435,0.8961
25,0,293051,111967,103493,301525,0.6865
26,0,225086,120374,110226,235234,0.9372
27,0,198379,138460,113481,223358,1.0
28,0,270624,147383,113285,304722,0.7435
29,0,281315,147861,115333,313843,0.735
30,0,229468,150203,115281,264390,0.8721
31,0,271072,157326,142338,286060,0.9952
32,0,250146,158379,133973,274552,0.9759
33,0,277652,173764,155605,295811,1.0
34,0,370634,224832,204668,390798,1.0
35,0,124148,20466,18527,126087,0.2939
36,0,190587,34197,33538,191246,0.3507
37,0,221162,44986,43598,222550,0.3918
38,0,132333,46623,42822,136134,0.6291
39,0,144243,51390,46333,149300,0.6207
40,0,221050,58948,58390,221608,0.527
41,0,181322,71632,68891,184063,0.7486
42,0,207522,72110,70947,208685,0.6799
43,0,218404,74298,66611,226091,0.5892
44,0,221451,79454,75001,225904,0.664
45,0,223778,83563,69587,237754,0.5854
46,0,203582,87678,80044,211216,0.7579
47,0,177350,89503,81072,185781,0.8728
48,0,194494,91161,87849,197806,0.8882
49,0,227708,98447,91968,234187,0.7854
50,0,260792,104055,74390,290457,0.5122
51,0,247316,113630,111613,249333,0.8953
52,0,187905,118171,87725,218351,0.8035
53,0,214614,125934,83268,257280,0.6473
54,0,262207,130763,118328,274642,0.8617
55,0,196167,140799,118293,218673,1.0
56,0,235344,146440,129003,252781,1.0
57,0,277860,153071,142329,288602,0.9863
58,0,268263,157089,136266,289086,0.9427
59,0,240928,157414,104834,293508,0.7144
60,0,244411,161243,108580,297074,0.731
61,0,282405,168343,157031,293717,1.0
62,0,258959,173462,145648,286773,1.0
63,0,290665,186129,169894,306900,1.0
64,0,258612,192199,179205,271606,1.0
65,0,256062,216245,173740,298567,1.0
66,0,306226,220576,209199,317603,1.0
67,0,294449,237250,192447,339252,1.0
