round,dice_wt,time_sec,loss
0,0.1107,22.46,0.8893
1,0.082,18.3,0.918
2,0.2601,18.36,0.7399
3,0.321,18.26,0.679
4,0.3962,17.9,0.6038
5,0.4675,18.28,0.5325
6,0.5312,19.47,0.4688
7,0.5807,18.34,0.4193
8,0.627,18.16,0.373
9,0.6619,18.01,0.3381
10,0.6917,18.16,0.3083
11,0.7411,18.13,0.2589
12,0.7362,18.3,0.2638
13,0.7394,18.11,0.2606
14,0.7486,18.12,0.2514
15,0.7339,18.27,0.2661
16,0.7344,18.07,0.2656
17,0.6886,18.26,0.3114
18,0.6845,17.98,0.3155
19,0.7529,18.19,0.2471
20,0.758,18.12,0.242
21,0.7487,18.3,0.2513
22,0.6874,18.27,0.3126
23,0.701,18.22,0.299
24,0.6755,18.36,0.3245
25,0.6357,19.27,0.3643
