Round,Train Loss,Dice WT
-1,0.9629250386357308,0.1957
-1,0.9600205193459986,0.4066
-1,0.9583425416052341,0.334
-1,0.9563341607153415,0.4513
-1,0.9528774206340312,0.3557
-1,0.9468458017706872,0.3612
-1,0.9370898470282555,0.1286
-1,0.9234311398863791,0.1122
-1,0.9047962217032911,0.2708
-1,0.8776931841671466,0.4782
-1,0.840153338611126,0.5242
-1,0.7876426675915719,0.5721
-1,0.715821620374918,0.7028
-1,0.6170203195512295,0.9527
-1,0.5089539344608784,0.9744
-1,0.3979474641382694,1.0
-1,0.3110406295955181,0.9877
-1,0.24569812297821042,1.0
-1,0.19587914407253265,0.9971
-1,0.16897429808974262,0.9957
-1,0.14812530174851418,0.9475
-1,0.13231150180101398,0.9785
-1,0.1243629767000675,1.0
-1,0.11734411433339118,0.987
-1,0.1111701475083828,0.984
