round,dice_wt,time_sec,loss
0,0.1107,21.12,0.8893
1,0.2858,18.28,0.7142
2,0.4504,18.45,0.5496
3,0.4868,18.36,0.5132
4,0.5832,18.02,0.4168
5,0.6591,18.08,0.3409
6,0.7131,18.82,0.2869
7,0.8143,17.96,0.1857
8,0.8694,17.9,0.1306
9,0.8897,17.73,0.1103
10,0.8556,17.86,0.1444
11,0.7689,17.96,0.2311
12,0.6776,18.09,0.3224
13,0.6272,17.74,0.3728
14,0.4044,17.88,0.5956
15,0.3644,18.0,0.6356
16,0.3855,17.98,0.6145
17,0.2009,17.74,0.7991
18,0.1495,17.71,0.8505
19,0.1324,17.91,0.8676
20,0.1607,17.72,0.8393
21,0.1729,17.85,0.8271
22,0.2672,17.79,0.7328
23,0.1066,17.54,0.8934
24,0.3715,17.96,0.6285
25,0.3908,18.79,0.6092
