Round,Train Loss,Dice WT
-1,0.9575757792592048,0.2294
-1,0.9542166276276112,0.1787
-1,0.9522370870411395,0.4858
-1,0.9499086083471775,0.3541
-1,0.9459870921075343,0.3227
-1,0.9389481696486474,0.2256
-1,0.9278867441415786,0.2258
-1,0.912605236172676,0.2749
-1,0.8911829037964344,0.312
-1,0.8612846034765242,0.3268
-1,0.819819393903017,0.5058
-1,0.7608307887613772,0.602
-1,0.6819827210903168,0.8297
-1,0.584215402752161,0.8182
-1,0.4727849858999253,0.9606
-1,0.3754202120006085,0.9488
-1,0.2867989352345467,0.9369
-1,0.22879142433404925,0.9312
-1,0.1887750914692879,0.9654
-1,0.15831786945462228,1.0
-1,0.1414903572201729,0.9
-1,0.12829332098364826,0.9778
-1,0.1169827802479267,0.9974
-1,0.10986025288701058,0.985
-1,0.1056095016002655,0.9872
