batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,715107,157749,157499,715357,0.4403
2,0,575158,162397,162373,575182,0.5646
3,0,493770,169918,168807,494881,0.6822
4,0,689117,200621,200587,689151,0.5821
5,0,258114,12470,12329,258255,0.0955
6,0,381911,42636,42630,381917,0.2232
7,0,305743,46230,46230,305743,0.3024
8,0,564136,51782,51782,564136,0.1836
9,0,411974,59342,59248,412068,0.2876
10,0,796217,77740,77690,796267,0.1951
11,0,693065,78549,78543,693071,0.2267
12,0,553695,78584,78552,553727,0.2837
13,0,586103,79080,76652,588531,0.2605
14,0,560841,83463,83440,560864,0.2975
15,0,448622,84845,84776,448691,0.3779
16,0,576759,85112,85112,576759,0.2951
17,0,470376,95788,94603,471561,0.4012
18,0,512246,98011,95231,515026,0.3698
19,0,477139,98512,98512,477139,0.4129
20,0,452814,98996,96641,455169,0.4246
21,0,499097,105016,105016,499097,0.4208
22,0,765897,107675,107430,766142,0.2804
23,0,438076,107935,107209,438802,0.4886
24,0,521996,111614,111614,521996,0.4276
25,0,638295,111967,111902,638360,0.3506
26,0,527184,120374,120349,527209,0.4566
27,0,358576,138460,137905,359131,0.768
28,0,657312,147383,145608,659087,0.4418
29,0,640151,147861,147747,640265,0.4615
30,0,585222,150203,149989,585436,0.5124
31,0,640020,157326,157048,640298,0.4905
32,0,575732,158379,157720,576391,0.5473
33,0,608116,173764,173706,608174,0.5712
34,0,885526,224832,224690,885668,0.5074
35,0,268043,20466,20413,268096,0.1523
36,0,377498,34197,34197,377498,0.1812
37,0,436296,44986,44985,436297,0.2062
38,0,273573,46623,46623,273573,0.3408
39,0,383109,51390,51359,383140,0.2681
40,0,473037,58948,58948,473037,0.2492
41,0,396784,71632,71632,396784,0.3611
42,0,475340,72110,72110,475340,0.3034
43,0,549592,74298,74257,549633,0.2702
44,0,481205,79454,79454,481205,0.3302
45,0,453106,83563,83119,453550,0.3665
46,0,404324,87678,87659,404343,0.4336
47,0,369494,89503,89415,369582,0.4839
48,0,385259,91161,91161,385259,0.4732
49,0,503459,98447,98446,503460,0.3911
50,0,766761,104055,100958,769858,0.2623
51,0,579375,113630,113630,579375,0.3923
52,0,387214,118171,117134,388251,0.6034
53,0,668751,125934,123010,671675,0.3663
54,0,550457,130763,130677,550543,0.4747
55,0,445153,140799,139232,446720,0.6234
56,0,520344,146440,146270,520514,0.562
57,0,557394,153071,153053,557412,0.5492
58,0,525735,157089,157060,525764,0.5975
59,0,555063,157414,150890,561587,0.5374
60,0,453075,161243,154497,459821,0.672
61,0,570021,168343,168320,570044,0.5906
62,0,582320,173462,173399,582383,0.5955
63,0,571544,186129,186129,571544,0.6513
64,0,576314,192199,192155,576358,0.6668
65,0,466801,216245,215650,467396,0.9228
66,0,729645,220576,220572,729649,0.6046
67,0,559622,237250,236934,559938,0.8463
