Round,EncodingMode,UsedSparsity,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
-1,SH,0.6,-,154016352,165988868,0.9278715711747888
-1,SH,0.6,-,154016352,160365322,0.9604093279857961
-1,SH,0.6,-,154016352,161569382,0.9532520952103116
-1,SH,0.6,-,154016352,162894742,0.9454961502321558
-1,SH,0.6,-,154016352,163575662,0.941560313148128
-1,SH,0.6,-,154016352,164583366,0.9357953671196534
-1,SH,0.6,-,154016352,164338683,0.9371886700463096
-1,SH,0.6,-,154016352,164580838,0.9358097393900359
-1,SH,0.6,-,154016352,165189226,0.9323631775423085
-1,SH,0.6,-,154016352,165442624,0.9309351365627082
-1,SH,0.6,-,154016352,165350656,0.9314529186859668
-1,SH,0.6,-,154016352,165361196,0.9313935536219162
-1,SH,0.6,-,154016352,165233160,0.932115272396187
-1,SH,0.6,-,154016352,165707599,0.9294465212789409
-1,SH,0.6,-,154016352,165404831,0.9311478452806851
-1,SH,0.6,-,154016352,165598210,0.930060485011668
-1,SH,0.6,-,154016352,165539369,0.9303910760236616
-1,SH,0.6,-,154016352,164994499,0.9334635552722025
-1,SH,0.6,-,154016352,164369383,0.9370136259738461
-1,SH,0.6,-,154016352,165640212,0.9298246484493442
-1,SH,0.6,-,154016352,164766894,0.9347530181410513
-1,SH,0.6,-,154016352,164635525,0.9354988959285662
-1,SH,0.6,-,154016352,164751844,0.9348384075340402
-1,SH,0.6,-,154016352,163698431,0.940854170931808
-1,SH,0.6,-,154016352,163419750,0.942458617882102
