round,dice_wt,time_sec,loss
0,0.1107,22.27,0.8893
1,0.3611,17.78,0.6389
2,0.3244,17.64,0.6756
3,0.4172,17.47,0.5828
4,0.3225,17.19,0.6775
5,0.2407,17.32,0.7593
6,0.2459,17.31,0.7541
7,0.2828,17.21,0.7172
8,0.2522,17.22,0.7478
9,0.1829,17.26,0.8171
10,0.3,17.31,0.7
11,0.4272,17.05,0.5728
12,0.4663,17.32,0.5337
13,0.7559,17.39,0.2441
14,0.8543,17.36,0.1457
15,0.9434,17.33,0.0566
16,0.9767,17.21,0.0233
17,0.981,17.64,0.019
18,0.9826,17.3,0.0174
19,0.983,17.42,0.017
20,0.9826,17.07,0.0174
21,0.9854,17.29,0.0146
22,0.9838,17.15,0.0162
23,0.9836,17.24,0.0164
24,0.9857,17.42,0.0143
25,0.983,17.51,0.017
