Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,KH,64,154016352,49435622,3.1154933114610097
2,KH,64,154016352,49345896,3.1211582366526858
3,KH,64,154016352,49304592,3.123772955101502
4,KH,64,154016352,49242055,3.127740108845399
5,KH,64,154016352,49093257,3.137220045575921
6,KH,64,154016352,49030099,3.1412612730637965
7,KH,64,154016352,49018807,3.141984854645537
8,KH,64,154016352,48982988,3.1442824803164875
9,KH,64,154016352,48925111,3.1480020656238916
10,KH,64,154016352,48984191,3.144205263271879
11,KH,64,154016352,48924580,3.1480362214936273
12,KH,64,154016352,49010556,3.1425138668527945
13,KH,64,154016352,49021970,3.141782134040095
14,KH,64,154016352,48960702,3.145713707182647
15,KH,64,154016352,49005359,3.1428470799457027
16,KH,64,154016352,49001850,3.1430721652719464
17,KH,64,154016352,49043715,3.140389153363196
18,KH,64,154016352,49072519,3.138545852658485
19,KH,64,154016352,49092803,3.137249083638534
20,KH,64,154016352,49107191,3.13632988683559
21,KH,64,154016352,49099025,3.136851485703503
22,KH,64,154016352,49038399,3.1407295879018484
23,KH,64,154016352,49089538,3.137457747766992
24,KH,64,154016352,49047208,3.1401655300783324
25,KH,64,154016352,49131262,3.1347933090559694
