Round,Train Loss,Dice WT
-1,0.9607687548195061,0.3297
-1,0.9466134696806732,0.2272
-1,0.8953352337997211,0.7014
-1,0.7356546505501396,0.8336
-1,0.43125951694030507,0.9351
-1,0.23068701546443132,0.9416
-1,0.1547979522300394,0.9286
-1,0.12486099200813391,0.9059
-1,0.11090635986704575,0.9212
-1,0.1047998705584752,0.9288
-1,0.10111622492733754,0.93
-1,0.0963407041603013,0.95
-1,0.09283848773492011,0.9173
-1,0.09239817818528728,0.9122
-1,0.08907978009236486,0.9434
-1,0.08903971075227386,0.893
-1,0.08730554435598223,0.8972
-1,0.08730969691747113,0.9124
-1,0.08289247810056335,0.9194
-1,0.08104417904427177,0.9434
-1,0.08185854416928792,0.9491
-1,0.07871068629779314,0.9109
-1,0.08339236143388247,0.9192
-1,0.07479709951501143,0.9088
-1,0.07580533466841045,0.9159
