Round,EncodingMode,UsedSparsity,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
-1,KH,0,32,154016352,117390294,1.3120024386343219
-1,KH,0,32,154016352,117335535,1.3126147334650156
-1,KH,0,32,154016352,117165917,1.3145149711071693
-1,KH,0,32,154016352,117124769,1.3149767834334
-1,KH,0,32,154016352,117447039,1.3113685394827195
-1,KH,0,32,154016352,117220520,1.3139026511740435
-1,KH,0,32,154016352,117517304,1.3105844565664986
-1,KH,0,32,154016352,117545600,1.3102689679579669
-1,KH,0,32,154016352,117362427,1.3123139656953413
-1,KH,0,32,154016352,117420051,1.3116699463876063
-1,KH,0,32,154016352,117367150,1.3122611565501932
-1,KH,0,32,154016352,117404012,1.3118491385115527
-1,KH,0,32,154016352,117515023,1.3106098953833332
-1,KH,0,32,154016352,117578767,1.3098993630372056
-1,KH,0,32,154016352,117564642,1.3100567430809682
-1,KH,0,32,154016352,117535357,1.3103831555980214
-1,KH,0,32,154016352,117521851,1.3105337491663571
-1,KH,0,32,154016352,117646802,1.3091418498566583
-1,KH,0,32,154016352,117466347,1.3111529892046443
-1,KH,0,32,154016352,117637447,1.3092459580493956
-1,KH,0,32,154016352,117490991,1.310877971911906
-1,KH,0,32,154016352,117535796,1.3103782612745483
-1,KH,0,32,154016352,117532921,1.3104103147406674
-1,KH,0,32,154016352,117559709,1.3101117152305983
-1,KH,0,32,154016352,117480001,1.3110006017109244
