round,dice_wt,time_sec,loss
0,0.1107,21.82,0.8893
1,0.1547,18.06,0.8453
2,0.3155,17.92,0.6845
3,0.4041,18.18,0.5959
4,0.4684,17.99,0.5316
5,0.6111,18.02,0.3889
6,0.532,18.65,0.468
7,0.7588,17.88,0.2412
8,0.9083,17.96,0.0917
9,0.8419,17.8,0.1581
10,0.8429,18.02,0.1571
11,0.7516,17.94,0.2484
12,0.916,18.0,0.084
13,0.9256,18.13,0.0744
14,0.898,17.99,0.102
15,0.8393,18.12,0.1607
16,0.942,17.93,0.058
17,0.9511,18.14,0.0489
18,0.9329,18.32,0.0671
19,0.9697,17.98,0.0303
20,0.9221,17.97,0.0779
21,0.9739,18.02,0.0261
22,0.8505,18.01,0.1495
23,0.9507,18.07,0.0493
24,0.9256,18.16,0.0744
25,0.9193,18.69,0.0807
