round,dice_wt,time_sec,loss
0,0.1107,27.63,0.8893
1,0.1551,24.16,0.8449
2,0.3162,23.93,0.6838
3,0.4018,24.05,0.5982
4,0.4716,24.01,0.5284
5,0.713,24.02,0.287
6,0.528,24.61,0.472
7,0.8523,24.04,0.1477
8,0.7491,23.53,0.2509
9,0.6983,23.84,0.3017
10,0.668,24.07,0.332
11,0.6281,23.92,0.3719
12,0.9407,23.79,0.0593
13,0.8401,23.92,0.1599
14,0.9498,23.92,0.0502
15,0.8538,23.75,0.1462
16,0.9499,23.96,0.0501
17,0.9421,24.1,0.0579
18,0.9313,23.71,0.0687
19,0.9698,23.87,0.0302
20,0.9523,23.9,0.0477
21,0.9704,23.8,0.0296
22,0.8914,23.79,0.1086
23,0.9531,23.92,0.0469
24,0.9117,23.81,0.0883
25,0.9229,24.2,0.0771
