batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,337026,157749,157447,337328,0.9335
2,0,359580,162397,162069,359908,0.9006
3,0,141023,169918,117283,193658,1.0
4,0,569370,200621,200621,569370,0.7047
5,0,2259,12470,957,13772,0.139
6,0,61535,42636,37367,66804,1.0
7,0,80200,46230,44991,81439,1.0
8,0,198653,51782,51768,198667,0.5212
9,0,86740,59342,43100,102982,0.837
10,0,123059,77740,75870,124929,1.0
11,0,191381,78549,78450,191480,0.8194
12,0,147673,78584,78417,147840,1.0
13,0,98937,79080,61176,116841,1.0
14,0,144062,83463,76848,150677,1.0
15,0,103221,84845,73814,114252,1.0
16,0,199951,85112,85112,199951,0.8513
17,0,87715,95788,62877,120626,1.0
18,0,82821,98011,66109,114723,1.0
19,0,291196,98512,98512,291196,0.6766
20,0,106365,98996,73850,131511,1.0
21,0,132152,105016,102580,134588,1.0
22,0,246420,107675,107360,246735,0.8702
23,0,97940,107935,73752,132123,1.0
24,0,212643,111614,110605,213652,1.0
25,0,157978,111967,109204,160741,1.0
26,0,371811,120374,120347,371838,0.6473
27,0,148243,138460,120854,165849,1.0
28,0,138068,147383,109795,175656,1.0
29,0,217971,147861,121963,243869,1.0
30,0,144313,150203,113802,180714,1.0
31,0,332561,157326,156394,333493,0.9379
32,0,324702,158379,154400,328681,0.9395
33,0,368244,173764,173387,368621,0.9407
34,0,496028,224832,219016,501844,0.8728
35,0,21099,20466,15123,26442,1.0
36,0,147070,34197,34197,147070,0.465
37,0,232591,44986,44769,232808,0.3846
38,0,71211,46623,45767,72067,1.0
39,0,94522,51390,49384,96528,1.0
40,0,269581,58948,58948,269581,0.4373
41,0,252507,71632,71632,252507,0.5674
42,0,230957,72110,72110,230957,0.6244
43,0,105752,74298,71436,108614,1.0
44,0,233421,79454,79454,233421,0.6808
45,0,165199,83563,80798,167964,0.9621
46,0,190018,87678,82696,195000,0.8482
47,0,129671,89503,85412,133762,1.0
48,0,215073,91161,91032,215202,0.846
49,0,206104,98447,97083,207468,0.9359
50,0,140647,104055,87032,157670,1.0
51,0,400596,113630,113630,400596,0.5673
52,0,85932,118171,79883,124220,1.0
53,0,44792,125934,42959,127767,0.6725
54,0,370487,130763,128687,372563,0.6908
55,0,195079,140799,130306,205572,1.0
56,0,386286,146440,145538,387188,0.7518
57,0,354111,153071,150838,356344,0.8466
58,0,218552,157089,145815,229826,1.0
59,0,137285,157414,102900,191799,1.0
60,0,100812,161243,86530,175525,0.986
61,0,424340,168343,168314,424369,0.7932
62,0,406058,173462,173455,406065,0.8543
63,0,401590,186129,186071,401648,0.9265
64,0,441431,192199,192199,441431,0.8708
65,0,281133,216245,200232,297146,1.0
66,0,505151,220576,219931,505796,0.8696
67,0,403864,237250,232168,408946,1.0
