round,dice_wt,time_sec,loss
0,0.1107,22.28,0.8893
1,0.3468,17.78,0.6532
2,0.4373,17.48,0.5627
3,0.5759,17.59,0.4241
4,0.4399,17.28,0.5601
5,0.4913,17.5,0.5087
6,0.3399,17.69,0.6601
7,0.2769,17.37,0.7231
8,0.3025,17.78,0.6975
9,0.4294,17.45,0.5706
10,0.4678,17.55,0.5322
11,0.5093,17.93,0.4907
12,0.5638,17.5,0.4362
13,0.8671,17.4,0.1329
14,0.9067,17.41,0.0933
15,0.929,17.55,0.071
16,0.9793,17.4,0.0207
17,0.9832,17.47,0.0168
18,0.9834,17.4,0.0166
19,0.9834,17.53,0.0166
20,0.9846,17.31,0.0154
21,0.985,17.44,0.015
22,0.9828,17.2,0.0172
23,0.984,17.57,0.016
24,0.9839,17.64,0.0161
25,0.9836,17.41,0.0164
