Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,KH,32,154016352,47463210,3.244962761614119
2,KH,32,154016352,47411645,3.2484919927737423
3,KH,32,154016352,47346733,3.252945650428444
4,KH,32,154016352,47309320,3.2555181607745642
5,KH,32,154016352,47221385,3.2615805266713207
6,KH,32,154016352,47149585,3.266547291226426
7,KH,32,154016352,47068859,3.272149622769422
8,KH,32,154016352,47131548,3.2677974390092626
9,KH,32,154016352,47099955,3.2699893163566927
10,KH,32,154016352,47090598,3.2706390739139426
11,KH,32,154016352,47076983,3.2715849539142363
12,KH,32,154016352,47072648,3.2718862287080035
13,KH,32,154016352,47173139,3.264916327978512
14,KH,32,154016352,47221503,3.2615723968534773
15,KH,32,154016352,47231243,3.2608998239031917
16,KH,32,154016352,47214078,3.2620853321580023
17,KH,32,154016352,47265754,3.258518829618099
18,KH,32,154016352,47262161,3.2587665508325725
19,KH,32,154016352,47235578,3.260600530065037
20,KH,32,154016352,47210596,3.2623259251782613
21,KH,32,154016352,47197164,3.2632543353406476
22,KH,32,154016352,47217135,3.261874123858696
23,KH,32,154016352,47249251,3.259656950099299
24,KH,32,154016352,47265465,3.2585387686029477
25,KH,32,154016352,47238471,3.2604008584592417
