batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,161843,157749,148833,170759,1.0
2,0,171484,162397,155545,178336,1.0
3,0,113832,169918,110837,172913,1.0
4,0,229825,200621,196366,234080,1.0
5,0,0,12470,0,12470,0.0
6,0,41058,42636,37316,46378,1.0
7,0,50834,46230,44669,52395,1.0
8,0,59287,51782,51167,59902,1.0
9,0,77161,59342,58304,78199,1.0
10,0,105277,77740,75990,107027,1.0
11,0,93340,78549,77057,94832,1.0
12,0,81315,78584,73935,85964,1.0
13,0,72931,79080,64351,87660,1.0
14,0,94788,83463,80963,97288,1.0
15,0,92190,84845,80974,96061,1.0
16,0,94418,85112,84004,95526,1.0
17,0,68048,95788,61512,102324,1.0
18,0,101703,98011,90174,109540,1.0
19,0,211394,98512,98380,211526,0.9302
20,0,104375,98996,92059,111312,1.0
21,0,117909,105016,104117,118808,1.0
22,0,126256,107675,105360,128571,1.0
23,0,117416,107935,102463,122888,1.0
24,0,130107,111614,110775,130946,1.0
25,0,132373,111967,110812,133528,1.0
26,0,145375,120374,118675,147074,1.0
27,0,157090,138460,133530,162020,1.0
28,0,142602,147383,122226,167759,1.0
29,0,191499,147861,142823,196537,1.0
30,0,110111,150203,107817,152497,1.0
31,0,175247,157326,150723,181850,1.0
32,0,170088,158379,153128,175339,1.0
33,0,212900,173764,172395,214269,1.0
34,0,261961,224832,220673,266120,1.0
35,0,26684,20466,19375,27775,1.0
36,0,40326,34197,33630,40893,1.0
37,0,51773,44986,43278,53481,1.0
38,0,52024,46623,46205,52442,1.0
39,0,55907,51390,48836,58461,1.0
40,0,78029,58948,58779,78198,1.0
41,0,83669,71632,71245,84056,1.0
42,0,92834,72110,71918,93026,1.0
43,0,89667,74298,72565,91400,1.0
44,0,89264,79454,78025,90693,1.0
45,0,77313,83563,73221,87655,1.0
46,0,102945,87678,85311,105312,1.0
47,0,103703,89503,88034,105172,1.0
48,0,103151,91161,90235,104077,1.0
49,0,107287,98447,95807,109927,1.0
50,0,133496,104055,99254,138297,1.0
51,0,132579,113630,113034,133175,1.0
52,0,103025,118171,101613,119583,1.0
53,0,110442,125934,99579,136797,1.0
54,0,152577,130763,127350,155990,1.0
55,0,154544,140799,136988,158355,1.0
56,0,162270,146440,143502,165208,1.0
57,0,195566,153071,151803,196834,1.0
58,0,166473,157089,151582,171980,1.0
59,0,153254,157414,142526,168142,1.0
60,0,165727,161243,152545,174425,1.0
61,0,194799,168343,165985,197157,1.0
62,0,189283,173462,168041,194704,1.0
63,0,208107,186129,183092,211144,1.0
64,0,218596,192199,190245,220550,1.0
65,0,216573,216245,202327,230491,1.0
66,0,290804,220576,219816,291564,1.0
67,0,262313,237250,228607,270956,1.0
