round,dice_wt,time_sec,loss
0,0.1107,21.72,0.8893
1,0.3668,17.17,0.6332
2,0.3392,17.41,0.6608
3,0.4345,17.26,0.5655
4,0.3239,17.26,0.6761
5,0.6486,17.37,0.3514
6,0.7891,17.33,0.2109
7,0.7403,17.13,0.2597
8,0.3115,16.95,0.6885
9,0.47,17.21,0.53
10,0.2342,17.08,0.7658
11,0.3515,17.06,0.6485
12,0.3606,17.23,0.6394
13,0.6933,17.22,0.3067
14,0.8073,17.13,0.1927
15,0.9443,17.02,0.0557
16,0.9807,17.1,0.0193
17,0.9811,17.18,0.0189
18,0.983,17.22,0.017
19,0.9962,17.15,0.0038
20,0.9909,17.04,0.0091
21,0.9855,17.19,0.0145
22,0.9871,17.29,0.0129
23,0.9868,17.2,0.0132
24,0.9963,17.02,0.0037
25,0.9878,17.23,0.0122
