Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,KH,64,154016352,49430915,3.1157899804519853
2,KH,64,154016352,49331715,3.12205548979846
3,KH,64,154016352,49281512,3.1252358874567485
4,KH,64,154016352,49190366,3.1310267346742955
5,KH,64,154016352,49132644,3.1347051413950724
6,KH,64,154016352,49012334,3.142399824639386
7,KH,64,154016352,49030449,3.141238807731014
8,KH,64,154016352,49009196,3.1426010321560995
9,KH,64,154016352,49004207,3.142920959121245
10,KH,64,154016352,49006742,3.142758435007548
11,KH,64,154016352,48992676,3.143660731169637
12,KH,64,154016352,49042575,3.1404621765401393
13,KH,64,154016352,49019725,3.1419260279063437
14,KH,64,154016352,48993678,3.143596416968801
15,KH,64,154016352,49057755,3.139490372245822
16,KH,64,154016352,49061522,3.13924935239738
17,KH,64,154016352,49099896,3.1367958411202914
18,KH,64,154016352,49115645,3.1357900430497576
19,KH,64,154016352,49096571,3.1370083080138644
20,KH,64,154016352,49087311,3.1376000471298564
21,KH,64,154016352,49112595,3.13598478193391
22,KH,64,154016352,49117133,3.1356950466746905
23,KH,64,154016352,49083379,3.1378514079787694
24,KH,64,154016352,49065960,3.1389654224858377
25,KH,64,154016352,49102316,3.1366412555620387
