Round,EncodingMode,UsedSparsity,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
-1,SH,0.6,-,154016352,165710985,0.9294275320547565
-1,SH,0.6,-,154016352,159375550,0.966373774004902
-1,SH,0.6,-,154016352,161596582,0.9530916388880264
-1,SH,0.6,-,154016352,163601121,0.9414137904714039
-1,SH,0.6,-,154016352,161493261,0.9537014140366536
-1,SH,0.6,-,154016352,158021204,0.9746562338127154
-1,SH,0.6,-,154016352,164706474,0.9350959155401912
-1,SH,0.6,-,154016352,154078006,0.9995998498391466
-1,SH,0.6,-,154016352,163914364,0.9396147338616843
-1,SH,0.6,-,154016352,155091448,0.9930679815687503
-1,SH,0.6,-,154016352,158515652,0.9716160493235907
-1,SH,0.6,-,154016352,158065737,0.974381635546314
-1,SH,0.6,-,154016352,158628944,0.9709221235128876
-1,SH,0.6,-,154016352,160565342,0.9592129283635064
-1,SH,0.6,-,154016352,161140323,0.9557902631810818
-1,SH,0.6,-,154016352,162232904,0.9493533534583237
-1,SH,0.6,-,154016352,163403324,0.9425533568587612
-1,SH,0.6,-,154016352,163289381,0.9432110670388762
-1,SH,0.6,-,154016352,160355872,0.9604659283765229
-1,SH,0.6,-,154016352,160569685,0.95918698052162
-1,SH,0.6,-,154016352,162359267,0.9486144770522872
-1,SH,0.6,-,154016352,162603092,0.9471920249277916
-1,SH,0.6,-,154016352,162641446,0.9469686550503246
-1,SH,0.6,-,154016352,162755340,0.9463059812029988
-1,SH,0.6,-,154016352,163917534,0.9395965618100063
