Round,Train Loss,Dice WT
-1,0.9614943331426329,0.3586
-1,0.9522743646089022,0.4053
-1,0.9055457683296891,0.3774
-1,0.7749561743693308,0.7833
-1,0.49801078777055485,0.9796
-1,0.2907620593234226,0.9959
-1,0.20924529535276393,0.9873
-1,0.17931974385235763,0.9903
-1,0.16209486207446538,0.9752
-1,0.1461120779449875,0.9919
-1,0.1481168607333759,0.9918
-1,0.148631519240302,0.9968
-1,0.13237100044886269,0.991
-1,0.132274346416061,1.0
-1,0.13176506274455302,0.9844
-1,0.12778910956941208,0.9774
-1,0.13210473425753483,0.9909
-1,0.1523292072184451,0.9734
-1,0.1279968123178224,0.9916
-1,0.12708215058386862,0.9786
-1,0.12482802588660435,0.9993
-1,0.12354057307715889,0.9852
-1,0.12437384193008012,0.9934
-1,0.1257211644370277,0.9864
-1,0.12334336353851867,0.9773
