Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,KH,32,154016352,47290484,3.256814845125229
2,KH,32,154016352,47008641,3.2763412667998804
3,KH,32,154016352,47059371,3.27280938527553
4,KH,32,154016352,47026161,3.275120627039629
5,KH,32,154016352,47090925,3.2706163811636966
6,KH,32,154016352,47046243,3.273722612822004
7,KH,32,154016352,47096801,3.2702083403239617
8,KH,32,154016352,47051964,3.273324562714854
9,KH,32,154016352,47117898,3.268744050893992
10,KH,32,154016352,47139167,3.267269241580335
11,KH,32,154016352,47148427,3.266627538131628
12,KH,32,154016352,47195641,3.26335967153343
13,KH,32,154016352,47092792,3.270486707071831
14,KH,32,154016352,47180054,3.264437784649836
15,KH,32,154016352,47146798,3.2667404126385162
16,KH,32,154016352,47125723,3.2682013359737874
17,KH,32,154016352,47161713,3.265707322251419
18,KH,32,154016352,47132181,3.26775352777089
19,KH,32,154016352,47206045,3.2626404105073696
20,KH,32,154016352,47142554,3.2670344682402246
21,KH,32,154016352,47218944,3.261749114907032
22,KH,32,154016352,47123123,3.268381643903087
23,KH,32,154016352,47140452,3.267180187474415
24,KH,32,154016352,47168769,3.2652187805143567
25,KH,32,154016352,47156473,3.26607020531204
