Sample,Dice,HD95
0_0,1.0000,66.2873
1_0,1.0000,62.6498
2_0,1.0000,60.0000
3_0,1.0000,54.9404
4_0,0.1599,93.6216
5_0,0.3816,103.8605
6_0,0.8165,86.0755
7_0,0.3620,84.6889
8_0,0.4809,63.1189
9_0,0.5637,51.1273
10_0,0.4790,95.1315
11_0,0.6661,66.2193
12_0,0.4939,65.3758
13_0,0.5453,76.6551
14_0,0.6831,80.3306
15_0,0.7032,64.9153
16_0,0.7585,61.2536
17_0,0.5607,72.3602
18_0,0.8504,46.5188
19_0,0.6315,63.0793
20_0,0.8073,86.4986
21_0,0.7046,83.4386
22_0,0.7888,61.5520
23_0,0.9496,62.2093
24_0,0.7248,81.1727
25_0,0.9742,69.0000
26_0,1.0000,52.2494
27_0,0.7677,63.1878
28_0,0.7553,52.0577
29_0,0.8962,38.4838
30_0,1.0000,64.9076
31_0,1.0000,62.1852
32_0,1.0000,36.0694
33_0,1.0000,44.5758
34_0,0.3415,63.1348
35_0,0.3845,76.1249
36_0,0.4254,80.8022
37_0,0.6866,83.8391
38_0,0.6858,101.6914
39_0,0.5702,79.3977
40_0,0.8065,69.4046
41_0,0.7408,84.2437
42_0,0.6258,67.4759
43_0,0.7004,72.5534
44_0,0.6157,72.7599
45_0,0.8007,73.0661
46_0,0.9281,61.8203
47_0,0.9474,71.1126
48_0,0.8283,82.5379
49_0,0.5385,77.7863
50_0,0.9516,73.3345
51_0,0.8187,73.7882
52_0,0.6663,72.9726
53_0,0.9049,69.5126
54_0,1.0000,66.3099
55_0,1.0000,75.7430
56_0,1.0000,55.6058
57_0,0.9766,81.2465
58_0,0.7176,53.9073
59_0,0.7419,65.7039
60_0,1.0000,69.1231
61_0,1.0000,67.6905
62_0,1.0000,75.5050
63_0,1.0000,63.5610
64_0,1.0000,63.8592
65_0,1.0000,59.5063
66_0,1.0000,57.7148
Average,0.7748,69.2333
