Sample,Dice,HD95
0_0,1.0000,67.4833
1_0,1.0000,63.1348
2_0,1.0000,7.4833
3_0,1.0000,28.9310
4_0,0.2590,81.8398
5_0,0.9807,82.1940
6_0,1.0000,34.7678
7_0,0.6148,68.6222
8_0,0.7243,60.9098
9_0,1.0000,45.9239
10_0,0.8728,95.5720
11_0,1.0000,60.5392
12_0,0.9015,54.7147
13_0,0.9380,72.4293
14_0,1.0000,79.9812
15_0,1.0000,61.1065
16_0,1.0000,40.5093
17_0,1.0000,55.5878
18_0,0.9961,37.8675
19_0,1.0000,51.0842
20_0,1.0000,82.0853
21_0,1.0000,83.7019
22_0,1.0000,40.2741
23_0,1.0000,37.7492
24_0,1.0000,78.9493
25_0,1.0000,69.4190
26_0,1.0000,14.2127
27_0,1.0000,47.3075
28_0,0.9156,45.1885
29_0,1.0000,24.3783
30_0,1.0000,44.5533
31_0,1.0000,50.6404
32_0,1.0000,23.8328
33_0,1.0000,23.0434
34_0,1.0000,56.6480
35_0,0.9261,69.1469
36_0,0.8187,85.5453
37_0,1.0000,84.6699
38_0,1.0000,78.8781
39_0,1.0000,72.2219
40_0,1.0000,67.3053
41_0,1.0000,70.1783
42_0,1.0000,53.4041
43_0,1.0000,66.3777
44_0,1.0000,68.0441
45_0,1.0000,67.2086
46_0,1.0000,38.7014
47_0,1.0000,66.1974
48_0,1.0000,88.0721
49_0,0.7604,70.6612
50_0,1.0000,50.6063
51_0,1.0000,55.5068
52_0,0.7806,59.5550
53_0,1.0000,70.7955
54_0,1.0000,11.3578
55_0,1.0000,72.8697
56_0,1.0000,47.9270
57_0,1.0000,8.1240
58_0,1.0000,37.2492
59_0,0.9949,12.2474
60_0,1.0000,60.4458
61_0,1.0000,16.0312
62_0,1.0000,73.0069
63_0,1.0000,8.0623
64_0,1.0000,8.6023
65_0,1.0000,53.6097
66_0,1.0000,54.3599
Average,0.9624,54.0244
