Round,Train Loss,Dice WT
-1,0.9555125269569269,0.3607
-1,0.945384268500224,0.3576
-1,0.918716690920982,0.2282
-1,0.869612075901833,0.4554
-1,0.7621589227884756,0.7293
-1,0.5895033178209258,0.882
-1,0.4205645315787372,0.9389
-1,0.3126923344716304,0.9299
-1,0.25916389287018976,0.9733
-1,0.23411701697261397,0.9845
-1,0.22007151040710324,0.9757
-1,0.21437452129957055,0.9749
-1,0.21132364233000941,0.8427
-1,0.20669812114298844,0.9604
-1,0.20874939926532138,0.9853
-1,0.21330774271187664,0.9872
-1,0.21853657339801305,0.9863
-1,0.21122743472331712,0.885
-1,0.2163588565938613,0.9653
-1,0.21996717242633596,0.9824
-1,0.21794177083408134,0.9031
-1,0.22379822520648732,0.9838
-1,0.22256880076993416,0.9787
-1,0.22240420119101262,0.9793
-1,0.2287848972472824,0.9825
