batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,794024,157749,157749,794024,0.3973
2,0,759750,162397,162397,759750,0.4275
3,0,400919,169918,169032,401805,0.8414
4,0,918570,200621,200621,918570,0.4368
5,0,62523,12470,3645,71348,0.1022
6,0,207856,42636,42635,207857,0.4102
7,0,206169,46230,46195,206204,0.4481
8,0,764177,51782,51782,764177,0.1355
9,0,510955,59342,59286,511011,0.232
10,0,752711,77740,77740,752711,0.2066
11,0,887496,78549,78549,887496,0.177
12,0,461119,78584,78541,461162,0.3406
13,0,461453,79080,79058,461475,0.3426
14,0,510749,83463,83447,510765,0.3268
15,0,432058,84845,84836,432067,0.3927
16,0,716050,85112,85112,716050,0.2377
17,0,261883,95788,81884,275787,0.5938
18,0,327019,98011,96815,328215,0.5899
19,0,556787,98512,98512,556787,0.3539
20,0,326560,98996,95757,329799,0.5807
21,0,581205,105016,105016,581205,0.3614
22,0,918987,107675,107675,918987,0.2343
23,0,334346,107935,107473,334808,0.642
24,0,651954,111614,111614,651954,0.3424
25,0,908509,111967,111967,908509,0.2465
26,0,611848,120374,120374,611848,0.3935
27,0,395483,138460,138455,395488,0.7002
28,0,611637,147383,147322,611698,0.4817
29,0,686183,147861,147861,686183,0.431
30,0,471061,150203,145409,475855,0.6111
31,0,680397,157326,157326,680397,0.4625
32,0,566706,158379,158356,566729,0.5588
33,0,744248,173764,173764,744248,0.467
34,0,1142436,224832,224759,1142509,0.3934
35,0,40999,20466,19799,41666,0.9504
36,0,465905,34197,34197,465905,0.1468
37,0,576148,44986,44985,576149,0.1562
38,0,196779,46623,46623,196779,0.4739
39,0,258124,51390,51166,258348,0.3961
40,0,630445,58948,58948,630445,0.187
41,0,444064,71632,71632,444064,0.3226
42,0,476606,72110,72110,476606,0.3026
43,0,334800,74298,74298,334800,0.4438
44,0,640308,79454,79454,640308,0.2482
45,0,469031,83563,82488,470106,0.3509
46,0,429025,87678,87350,429353,0.4069
47,0,330129,89503,89503,330129,0.5422
48,0,590626,91161,91161,590626,0.3087
49,0,470288,98447,98442,470293,0.4186
50,0,710298,104055,103996,710357,0.2928
51,0,821163,113630,113630,821163,0.2768
52,0,217009,118171,116958,218222,1.0
53,0,344258,125934,125433,344759,0.7277
54,0,794981,130763,130763,794981,0.329
55,0,428789,140799,140795,428793,0.6567
56,0,689070,146440,146440,689070,0.425
57,0,811272,153071,153056,811287,0.3773
58,0,524319,157089,157086,524322,0.5992
59,0,451591,157414,153555,455450,0.6743
60,0,410986,161243,161146,411083,0.784
61,0,735949,168343,168343,735949,0.4575
62,0,698965,173462,173462,698965,0.4963
63,0,779044,186129,186129,779044,0.4778
64,0,794369,192199,192199,794369,0.4839
65,0,518507,216245,216213,518539,0.8339
66,0,958950,220576,220576,958950,0.46
67,0,830714,237250,237250,830714,0.5712
