Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,SH,-,154016352,143613678,1.0724351175178015
2,SH,-,154016352,149491333,1.0302694387429465
3,SH,-,154016352,150982975,1.0200908524047263
4,SH,-,154016352,151810888,1.0145277045621652
5,SH,-,154016352,129135748,1.1926701431774611
6,SH,-,154016352,156250663,0.9857004652103357
7,SH,-,154016352,157221434,0.9796142138140513
8,SH,-,154016352,150446462,1.0237286354672304
9,SH,-,154016352,149799192,1.0281520862069042
10,SH,-,154016352,148375905,1.0380145693137353
11,SH,-,154016352,148945784,1.0340430379256367
12,SH,-,154016352,145987559,1.0549964158572867
13,SH,-,154016352,149766018,1.0283798250971437
14,SH,-,154016352,146911048,1.0483646605886014
15,SH,-,154016352,153190121,1.005393500214083
16,SH,-,154016352,157616380,0.9771595560329235
17,SH,-,154016352,152702422,1.0086045067470237
18,SH,-,154016352,154106176,0.9994171280208853
19,SH,-,154016352,152906791,1.007256447745444
20,SH,-,154016352,157313675,0.9790398147135598
21,SH,-,154016352,124194700,1.2401201580486914
22,SH,-,154016352,124113306,1.2409334396748273
23,SH,-,154016352,146228529,1.0532578898793215
24,SH,-,154016352,123486730,1.2472299804318105
25,SH,-,154016352,149501049,1.0302024822284512
