Sample,Dice,HD95
0_0,1.0000,2.0000
1_0,1.0000,2.8284
2_0,1.0000,3.1623
3_0,1.0000,7.2801
4_0,1.0000,15.2643
5_0,1.0000,3.4641
6_0,1.0000,2.2361
7_0,1.0000,3.3166
8_0,1.0000,2.8284
9_0,1.0000,2.2361
10_0,1.0000,5.0000
11_0,1.0000,4.4721
12_0,1.0000,1.4142
13_0,1.0000,4.2426
14_0,1.0000,3.1623
15_0,1.0000,10.1094
16_0,1.0000,3.3166
17_0,0.0000,nan
18_0,1.0000,7.1414
19_0,1.0000,5.0000
20_0,1.0000,3.6056
21_0,1.0000,5.3852
22_0,1.0000,3.0000
23_0,1.0000,5.0000
24_0,1.0000,3.6056
25_0,1.0000,2.2361
26_0,1.0000,9.0554
27_0,1.0000,1.4142
28_0,1.0000,3.7417
29_0,1.0000,5.3852
30_0,1.0000,8.1240
31_0,1.0000,4.2426
32_0,1.0000,3.4641
33_0,1.0000,4.1231
34_0,1.0000,32.3079
35_0,1.0000,4.5826
36_0,1.0000,16.6733
37_0,1.0000,3.1623
38_0,1.0000,10.4403
39_0,1.0000,4.1231
40_0,1.0000,8.7750
41_0,1.0000,13.0384
42_0,1.0000,3.1623
43_0,1.0000,3.1623
44_0,1.0000,6.5574
45_0,1.0000,4.1231
46_0,1.0000,16.7929
47_0,1.0000,2.2361
48_0,0.9097,7.3988
49_0,1.0000,9.4340
50_0,1.0000,2.4495
51_0,1.0000,11.3578
Average,0.9790,nan
