Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,KH,3,154016352,40859367,3.7694257946579492
2,KH,3,154016352,40869694,3.7684732786311037
3,KH,3,154016352,40895781,3.766069406534205
4,KH,3,154016352,40824627,3.7726334155485666
5,KH,3,154016352,40876332,3.767861306120934
6,KH,3,154016352,40893828,3.76624932059236
7,KH,3,154016352,40895457,3.7660992432618983
8,KH,3,154016352,40892573,3.766364833886815
9,KH,3,154016352,40894356,3.7662006200375795
10,KH,3,154016352,40895952,3.766053641003031
11,KH,3,154016352,40895503,3.766095026080595
12,KH,3,154016352,40896524,3.7660010039477156
13,KH,3,154016352,40897221,3.765936857937239
14,KH,3,154016352,40898134,3.7658527881831123
15,KH,3,154016352,40898588,3.765810984881377
16,KH,3,154016352,40898627,3.765807357064299
17,KH,3,154016352,40898231,3.7658438381552957
18,KH,3,154016352,40898163,3.7658500442324137
19,KH,3,154016352,40898051,3.765860375476071
20,KH,3,154016352,40898112,3.765854740243724
21,KH,3,154016352,40897969,3.765867907562117
22,KH,3,154016352,40897757,3.765887487957505
23,KH,3,154016352,40897827,3.7658809809449894
24,KH,3,154016352,40898005,3.7658645907377526
25,KH,3,154016352,40898095,3.7658563588565643
