round,dice_wt,time_sec,loss
0,0.1107,27.35,0.8893
1,0.0837,24.78,0.9163
2,0.2759,24.67,0.7241
3,0.3701,24.97,0.6299
4,0.4465,24.06,0.5535
5,0.628,24.02,0.372
6,0.6421,23.91,0.3579
7,0.7982,23.88,0.2018
8,0.8239,23.57,0.1761
9,0.8447,23.7,0.1553
10,0.846,23.97,0.154
11,0.8874,23.76,0.1126
12,0.7924,23.89,0.2076
13,0.882,23.82,0.118
14,0.9157,23.7,0.0843
15,0.9051,24.6,0.0949
16,0.9204,24.06,0.0796
17,0.8952,24.13,0.1048
18,0.8347,23.9,0.1653
19,0.8874,23.81,0.1126
20,0.8122,23.93,0.1878
21,0.9496,24.28,0.0504
22,0.7335,24.05,0.2665
23,0.8481,23.93,0.1519
24,0.7767,25.22,0.2233
25,0.8031,24.44,0.1969
