Round,Train Loss,Dice WT
-1,0.9890212883055209,0.1057
-1,0.9881829340755939,0.1996
-1,0.9876975205540657,0.2141
-1,0.9871116024255752,0.1421
-1,0.9861606025695802,0.0577
-1,0.9842839477956297,0.0808
-1,0.9813714990019798,0.0912
-1,0.9771992562711238,0.0508
-1,0.971468971222639,0.0596
-1,0.9633143521845341,0.1605
-1,0.9498723952472211,0.0447
-1,0.9310908374190332,0.3956
-1,0.9019798211753368,0.3205
-1,0.857469725459814,0.5325
-1,0.7890741142630576,0.5701
-1,0.693869509100914,0.823
-1,0.5887620778381825,0.8755
-1,0.48855335831642155,0.8748
-1,0.40432717904448506,0.8341
-1,0.34798975422978395,0.8581
-1,0.2983970946073532,0.8373
-1,0.2666959747672081,0.8568
-1,0.22517592638731002,0.8202
-1,0.2347296431660652,0.8096
-1,0.20070310577750203,0.868
