round,dice_wt,time_sec,loss
0,0.1107,21.8,0.8893
1,0.3621,18.35,0.6379
2,0.4661,18.06,0.5339
3,0.9383,18.02,0.0617
4,0.9693,18.28,0.0307
5,0.958,18.05,0.042
6,0.9573,18.01,0.0427
7,0.9613,17.87,0.0387
8,0.9508,17.54,0.0492
9,0.9665,18.02,0.0335
10,0.9653,18.21,0.0347
11,0.9748,18.13,0.0252
12,0.9661,18.03,0.0339
13,0.9732,18.02,0.0268
14,0.97,18.05,0.03
15,0.9754,17.89,0.0246
16,0.9741,18.23,0.0259
17,0.9725,18.03,0.0275
18,0.9696,17.98,0.0304
19,0.9736,17.95,0.0264
20,0.9678,17.99,0.0322
21,0.9705,17.97,0.0295
22,0.9689,17.71,0.0311
23,0.9731,17.94,0.0269
24,0.971,17.86,0.029
25,0.9724,19.16,0.0276
