round,dice_wt,time_sec,loss
0,0.1107,21.09,0.8893
1,0.0934,18.35,0.9066
2,0.2801,17.86,0.7199
3,0.3765,17.81,0.6235
4,0.4464,18.11,0.5536
5,0.5871,17.82,0.4129
6,0.6331,17.89,0.3669
7,0.7999,17.68,0.2001
8,0.804,17.61,0.196
9,0.8541,17.74,0.1459
10,0.8388,17.57,0.1612
11,0.8467,17.63,0.1533
12,0.8931,17.66,0.1069
13,0.8941,18.08,0.1059
14,0.9001,17.64,0.0999
15,0.8717,17.66,0.1283
16,0.8614,17.98,0.1386
17,0.8893,17.84,0.1107
18,0.8277,17.74,0.1723
19,0.8922,17.92,0.1078
20,0.8537,17.86,0.1463
21,0.9652,17.87,0.0348
22,0.7191,17.95,0.2809
23,0.854,18.01,0.146
24,0.8132,18.56,0.1868
25,0.7945,18.36,0.2055
