Round,Train Loss,Dice WT
-1,0.9915990766882896,0.0991
-1,0.9910046462714671,0.12
-1,0.9907003243267536,0.149
-1,0.9902854655683042,0.0869
-1,0.9897914664447308,0.1082
-1,0.9892188136279584,0.0515
-1,0.9881211787462234,0.0324
-1,0.9869670443236828,0.0503
-1,0.9854792416095733,0.0524
-1,0.9836282327771186,0.0396
-1,0.9814817753434182,0.0563
-1,0.9787051004171371,0.0588
-1,0.9755195765197276,0.0861
-1,0.9712663151323795,0.0629
-1,0.9658106514811516,0.0867
-1,0.9591351293027401,0.1918
-1,0.9507805423438549,0.1891
-1,0.9391688825190065,0.21
-1,0.9250487977266312,0.246
-1,0.9069512271881102,0.3306
-1,0.8834703585505486,0.5342
-1,0.855165250301361,0.5034
-1,0.8203079243004321,0.6728
-1,0.780568186044693,0.6419
-1,0.7359848159551621,0.8902
