Sample,Dice,HD95
0_0,1.0000,2.0000
1_0,1.0000,2.0000
2_0,1.0000,3.3166
3_0,1.0000,3.6056
4_0,1.0000,13.9875
5_0,1.0000,3.0000
6_0,0.4017,14.1774
7_0,1.0000,5.0990
8_0,1.0000,2.8284
9_0,1.0000,3.6056
10_0,1.0000,3.0000
11_0,1.0000,2.2361
12_0,1.0000,2.2361
13_0,1.0000,5.8310
14_0,1.0000,2.0000
15_0,1.0000,10.6771
16_0,1.0000,16.3095
17_0,1.0000,14.8661
18_0,1.0000,2.2361
19_0,1.0000,4.1231
20_0,1.0000,1.4142
21_0,0.7591,14.3527
22_0,0.3821,16.0312
23_0,1.0000,10.0324
24_0,0.0000,nan
25_0,0.1655,31.6386
26_0,1.0000,6.7823
27_0,1.0000,3.6056
28_0,0.0000,nan
29_0,1.0000,2.8284
30_0,1.0000,5.1962
31_0,0.0000,nan
32_0,1.0000,2.8284
33_0,1.0000,1.7321
34_0,1.0000,18.0555
35_0,1.0000,12.8452
36_0,0.1911,46.9148
37_0,1.0000,1.4142
38_0,1.0000,5.0000
Average,0.8436,nan
