round,dice_wt,time_sec,loss
0,0.1107,21.71,0.8893
1,0.2256,18.18,0.7744
2,0.9083,18.01,0.0917
3,0.8941,18.17,0.1059
4,0.7315,17.94,0.2685
5,0.9213,18.42,0.0787
6,0.9606,18.52,0.0394
7,0.9219,18.09,0.0781
8,0.7799,18.09,0.2201
9,0.619,18.33,0.381
10,0.6669,18.43,0.3331
11,0.6323,18.35,0.3677
12,0.5049,18.08,0.4951
13,0.6464,18.31,0.3536
14,0.4571,18.18,0.5429
15,0.536,18.09,0.464
16,0.5933,18.6,0.4067
17,0.4718,18.57,0.5282
18,0.5273,18.23,0.4727
19,0.4782,18.33,0.5218
20,0.4379,18.9,0.5621
21,0.4648,18.48,0.5352
22,0.4568,18.6,0.5432
23,0.4444,18.13,0.5556
24,0.4292,18.31,0.5708
25,0.4582,19.51,0.5418
