Round,Train Loss,Dice WT
-1,0.9915974640846252,0.0784
-1,0.991049679517746,0.1023
-1,0.9907567803561687,0.084
-1,0.9903693877160551,0.0784
-1,0.9898838880658148,0.0711
-1,0.9891634127497673,0.0599
-1,0.9883554171025754,0.0428
-1,0.9872113424539567,0.0474
-1,0.9857226048409938,0.0567
-1,0.9840091237425803,0.0714
-1,0.9818713898956777,0.1018
-1,0.9792756251990795,0.0986
-1,0.9761081102490425,0.1455
-1,0.9721155320107936,0.0948
-1,0.9669631321728229,0.0912
-1,0.9608053055405616,0.1919
-1,0.9529802465438844,0.207
-1,0.942856402695179,0.1908
-1,0.9307374635338782,0.2564
-1,0.9141308279335499,0.3508
-1,0.894570152014494,0.4693
-1,0.8706106765568256,0.481
-1,0.8424689082801343,0.5202
-1,0.8105495657026769,0.4788
-1,0.7733294482529163,0.8645
