round,dice_wt,time_sec,loss
0,0.1107,21.58,0.8893
1,0.1787,18.65,0.8213
2,0.9522,18.37,0.0478
3,0.9651,17.98,0.0349
4,0.8751,17.97,0.1249
5,0.9443,18.07,0.0557
6,0.9256,18.37,0.0744
7,0.6798,18.01,0.3202
8,0.6299,18.11,0.3701
9,0.4961,18.17,0.5039
10,0.5213,17.95,0.4787
11,0.6229,18.03,0.3771
12,0.508,18.14,0.492
13,0.5314,18.04,0.4686
14,0.5278,18.25,0.4722
15,0.577,18.17,0.423
16,0.5987,18.06,0.4013
17,0.5636,18.06,0.4364
18,0.5775,18.32,0.4225
19,0.6148,18.1,0.3852
20,0.5327,18.08,0.4673
21,0.6065,18.43,0.3935
22,0.6289,18.12,0.3711
23,0.6203,18.08,0.3797
24,0.6278,18.44,0.3722
25,0.6706,19.28,0.3294
