round,dice_wt,time_sec,loss
0,0.1107,21.47,0.8893
1,0.0934,18.26,0.9066
2,0.2799,18.0,0.7201
3,0.3795,17.95,0.6205
4,0.4464,17.86,0.5536
5,0.5868,17.98,0.4132
6,0.6254,18.31,0.3746
7,0.7959,18.18,0.2041
8,0.8074,18.09,0.1926
9,0.8387,17.9,0.1613
10,0.828,17.68,0.172
11,0.9024,17.77,0.0976
12,0.9465,18.29,0.0535
13,0.9167,18.15,0.0833
14,0.9486,18.23,0.0514
15,0.9059,18.39,0.0941
16,0.8962,18.23,0.1038
17,0.8322,18.22,0.1678
18,0.8411,18.38,0.1589
19,0.8563,18.24,0.1437
20,0.8496,17.99,0.1504
21,0.9634,18.02,0.0366
22,0.6992,18.31,0.3008
23,0.8617,18.44,0.1383
24,0.8149,18.32,0.1851
25,0.795,19.44,0.205
