Round,EncodingMode,UsedSparsity,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
-1,SH,0.2,-,154016352,158163329,0.9737804132353115
-1,SH,0.2,-,154016352,166435787,0.9253800165590367
-1,SH,0.2,-,154016352,166440728,0.9253525464727824
-1,SH,0.2,-,154016352,166668639,0.9240871723984474
-1,SH,0.2,-,154016352,167133238,0.9215183867711483
-1,SH,0.2,-,154016352,167000737,0.92224953273583
-1,SH,0.2,-,154016352,166949200,0.9225342265760615
-1,SH,0.2,-,154016352,166465296,0.9252159790953566
-1,SH,0.2,-,154016352,166429078,0.9254173206769175
-1,SH,0.2,-,154016352,166183709,0.9267836913132104
-1,SH,0.2,-,154016352,166243473,0.9264505155230257
-1,SH,0.2,-,154016352,165820566,0.9288133243894439
-1,SH,0.2,-,154016352,165766998,0.9291134770294955
-1,SH,0.2,-,154016352,166186768,0.926766635312508
-1,SH,0.2,-,154016352,165459547,0.930839918129793
-1,SH,0.2,-,154016352,165001964,0.9334213202082863
-1,SH,0.2,-,154016352,165189644,0.9323608170344805
-1,SH,0.2,-,154016352,165261484,0.9319555172966483
-1,SH,0.2,-,154016352,165351258,0.9314495271149507
-1,SH,0.2,-,154016352,165351149,0.9314501444859338
-1,SH,0.2,-,154016352,165062846,0.9330770380873642
-1,SH,0.2,-,154016352,165400228,0.9311737576084917
-1,SH,0.2,-,154016352,165265538,0.9319326540538242
-1,SH,0.2,-,154016352,165789699,0.9289862552311794
-1,SH,0.2,-,154016352,165228006,0.9321443451332364
