Sample,Dice,HD95
0_0,0.5398,86.8217
1_0,0.6700,70.0143
2_0,0.5494,68.3813
3_0,0.5246,51.4393
4_0,0.0460,75.2728
5_0,0.7448,62.3538
6_0,0.0451,81.8413
7_0,0.2308,65.7647
8_0,1.0000,76.2496
9_0,0.6005,57.7148
10_0,0.9142,56.3560
11_0,0.4655,89.5545
12_0,0.7101,76.7529
13_0,0.5700,69.0145
14_0,0.3128,80.7341
15_0,0.1924,82.9156
16_0,0.2997,66.9403
17_0,0.3308,61.6891
18_0,0.7628,71.7077
19_0,0.3392,74.0473
20_0,0.1399,78.5875
21_0,0.1229,80.7288
22_0,0.0514,97.0742
23_0,0.1569,82.8794
24_0,0.0071,65.6125
25_0,0.0416,112.6099
26_0,0.3639,76.5572
27_0,0.7271,94.5463
28_0,0.0143,92.7200
29_0,0.5767,85.7555
30_0,0.4136,67.3350
31_0,0.1269,113.8332
32_0,0.9515,64.4438
33_0,0.3565,64.2884
34_0,0.1839,73.2393
35_0,0.3562,57.6975
36_0,0.3802,67.6535
37_0,0.1078,94.3292
38_0,0.8102,86.9368
Average,0.4035,76.4716
