round,dice_wt,time_sec,loss
0,0.1107,26.65,0.8893
1,0.2294,23.52,0.7706
2,0.8978,23.33,0.1022
3,0.9536,23.78,0.0464
4,0.9078,23.92,0.0922
5,0.9796,23.87,0.0204
6,0.9551,24.19,0.0449
7,0.7301,23.73,0.2699
8,0.6539,23.71,0.3461
9,0.4962,23.69,0.5038
10,0.4983,23.81,0.5017
11,0.5936,24.0,0.4064
12,0.5436,23.72,0.4564
13,0.6029,23.81,0.3971
14,0.5781,23.89,0.4219
15,0.6402,23.88,0.3598
16,0.6394,24.17,0.3606
17,0.6289,24.0,0.3711
18,0.538,23.94,0.462
19,0.647,24.02,0.353
20,0.6016,24.26,0.3984
21,0.6297,23.78,0.3703
22,0.6677,24.06,0.3323
23,0.6683,24.11,0.3317
24,0.686,24.14,0.314
25,0.7133,24.08,0.2867
