round,dice_wt,time_sec,loss
0,0.1107,22.54,0.8893
1,0.082,18.76,0.918
2,0.2612,18.7,0.7388
3,0.3196,18.3,0.6804
4,0.3911,18.43,0.6089
5,0.4624,18.26,0.5376
6,0.538,18.83,0.462
7,0.5937,18.37,0.4063
8,0.6546,18.57,0.3454
9,0.6826,18.46,0.3174
10,0.7089,18.66,0.2911
11,0.7605,18.31,0.2395
12,0.7754,18.55,0.2246
13,0.7572,18.29,0.2428
14,0.7614,18.7,0.2386
15,0.7177,18.33,0.2823
16,0.741,18.74,0.259
17,0.7027,18.43,0.2973
18,0.6703,18.72,0.3297
19,0.7578,18.57,0.2422
20,0.7503,18.45,0.2497
21,0.7499,18.28,0.2501
22,0.7001,18.32,0.2999
23,0.7302,18.31,0.2698
24,0.6919,18.14,0.3081
25,0.6615,19.17,0.3385
